PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_URL,PLANT_LOCATION,TOPIC,,TYPE_URL
Universidad Gas Turbine Power Plant Mexico,,Mexico,Nuevo Len,GAS,Environmentally Responsible,25.69856934,-100.3185278,"25.6985693372, -100.318527818",,,http://www.globalenergyobservatory.org/geoid/5860,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Xul-Ha Gas Turbine Power Plant Mexico,14,Mexico,Quintana Roo,GAS,Environmentally Responsible,18.56811406,-88.46024036,"18.5681140613, -88.4602403641",,,http://www.globalenergyobservatory.org/geoid/6174,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Don Bocas CCGT Power Plant Mexico,452,Mexico,Veracruz,GAS,Environmentally Responsible,19.08523666,-96.14676476,"19.0852366587, -96.1467647552",,,http://www.globalenergyobservatory.org/geoid/2958,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Tahaddart CCGT Power Plant Morocco,384,Morocco,Tanger-Tetouan,GAS,Environmentally Responsible,35.589,-5.9868,"35.589, -5.9868",Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/41605,"Tahaddart, Tanger-Tetouan, Morocco",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Shwedaung (Pyay) OCGT Power Plant Myanmar,80,Myanmar,Bago  dv,GAS,Environmentally Responsible,18.7274,95.2285,"18.7274, 95.2285",Open Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/41486,"Shwedaung, Bago Division, Myanmar",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Moerdijk-2 CCGT Power Plant Netherlands,430,Netherlands,Noord-Brabant,GAS,Environmentally Responsible,51.6861,4.580278,"51.6861, 4.580278",Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/44514,"Moerdijk, Noord-Brabant, Netherlands",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Hemweg 9 CCGT CHP Power Plant Netherlands,435,Netherlands,Noord-Holland,GAS,Environmentally Responsible,52.4063,4.8418,"52.4063, 4.8418",Power and Heat Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/44505,"Amsterdam Port, Noord-Holland, Netherlands",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
IJmond CHP Power Plant Netherlands,144,Netherlands,Noord-Holland,GAS,Environmentally Responsible,52.4758,4.6048,"52.4758, 4.6048",Power and Heat Combined Cycle Gas Turbine,Cogeneration,http://www.globalenergyobservatory.org/geoid/44537,"Noord-Holland, Netherlands",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Langeweide CHP Power Plant Netherlands,266,Netherlands,Utrecht,GAS,Environmentally Responsible,52.1026,5.0713,"52.1026, 5.0713",Power and Heat Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/44503,"Utrecht, Utrecht, Netherlands",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Elsta CCGT Power Plant Netherlands,460,Netherlands,Zeeland,GAS,Environmentally Responsible,51.3331,3.7787,"51.3331, 3.7787",Power and Heat Combined Cycle Gas Turbine,Cogeneration,http://www.globalenergyobservatory.org/geoid/44511,"Terneuzen, Zeeland, Netherlands",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
