PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_URL,PLANT_LOCATION,TOPIC,,TYPE_URL
Aschach Hydroelectric Power Plant Austria,287,Austria,Upper Austria,HYDRO,Environmentally Responsible,48.3853,14.023,"48.3853, 14.023",Dam with run-of-river generation,Base Load,http://www.globalenergyobservatory.org/geoid/45057,"Aschach, Upper Austria, Austria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Abwinden-Asten Hydroelectric Power Plant Austria,168,Austria,Upper Austria,HYDRO,Environmentally Responsible,48.24798,14.4305,"48.24798, 14.4305",Barrage with run-of-river Generation,Base Load,http://www.globalenergyobservatory.org/geoid/45165,"Abwinden-Asten, Upper Austria, Austria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Vermunt Hydroelectric Power Plant Austria,157,Austria,Vorarlberg,HYDRO,Environmentally Responsible,46.9688,10.0558,"46.9688, 10.0558",Water discharged from another project,Intermediate Load,http://www.globalenergyobservatory.org/geoid/45209,"Partenen, Vorarlberg, Austria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Zongo Hydroelectric Power Plant Bolivia,11,Bolivia,La Paz,HYDRO,Environmentally Responsible,-16.2719,-68.1227,"-16.2719, -68.1227",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44738,"Huayna Potasi, La Paz, Bolivia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Cahua Hydroelectric Power Plant Bolivia,30,Bolivia,La Paz,HYDRO,Environmentally Responsible,-16.04561,-67.9939,"-16.04561, -67.9939",Water discharged from another project,,http://www.globalenergyobservatory.org/geoid/44748,"Huayna Potasi, La Paz, Bolivia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Mostar Hydroelectric Power Plant Bosnia and Herzegovina,75,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.3776,17.8449,"43.3776, 17.8449",Dam on river with reservoir,Seasonal: Base,http://www.globalenergyobservatory.org/geoid/44773,"Mostar, Herzegovina-Neretva, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,180,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.692406,17.732527,"43.692406, 17.732527",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44767,"Jablanica, Herzegovina-Neretva, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina,30,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,HYDRO,Environmentally Responsible,43.3375,17.3261,"43.3375, 17.3261",,,http://www.globalenergyobservatory.org/geoid/44808,"Grude, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Trebinje II Hydroelectric Power Plant Bosnia and Herzegovina,8,Bosnia and Herzegovina,Srpska,HYDRO,Environmentally Responsible,42.70664,18.3805,"42.70664, 18.3805",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44806,"4km upstream from Trebinje, Srpska, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Krupa Hydroelectric Power Plant Bosnia and Herzegovina,48.5,Bosnia and Herzegovina,Srpska,HYDRO,Environmentally Responsible,44.5624,17.135,"44.5624, 17.135",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44818,"Krupa, Srpska, Bosnia and Herzegovina",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Balbina Dam Hydroelectric Power Plant Brazil,250,Brazil,Amazonas,HYDRO,Environmentally Responsible,-1.91722,-59.473611,"-1.91722, -59.473611",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43329,"Manaus, Amazonas, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Sobradinho Hydroelectric Power Plant Brazil,1050,Brazil,Bahia,HYDRO,Environmentally Responsible,-9.4316,-40.8278,"-9.4316, -40.8278",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43295,"Petrolina, Bahia, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Serra da Mesa (Sao Felix) Hydroelectric Power Plant Brazil,1275,Brazil,Goias,HYDRO,Environmentally Responsible,-13.83417,-48.30444,"-13.83417, -48.30444",,,http://www.globalenergyobservatory.org/geoid/43362,"Minacu, Goias, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Mascarenhas de Moraes (Peixoto) Hydroelectric Power Plant Brazil,476,Brazil,Minas Gerais,HYDRO,Environmentally Responsible,-20.2861,-47.0646,"-20.2861, -47.0646",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43376,"Ibiraci, Minas Gerais, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Miranda Hydroelectric Power Plant Brazil,408,Brazil,Minas Gerais,HYDRO,Environmentally Responsible,-18.909,-48.0425,"-18.909, -48.0425",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43385,"East of Uberlandia, Minas Gerais, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tucurui Hydroelectric Power Plant Brazil,8370,Brazil,Para,HYDRO,Environmentally Responsible,-3.831667,-49.646667,"-3.831667, -49.646667",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43353,"Tucurui, Para, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ita Hydroelectric Power Plant Brazil,1450,Brazil,Rio Grande do Sul,HYDRO,Environmentally Responsible,-27.283,-52.3906,"-27.283, -52.3906",Dam on river with reservoir,Base Load,http://www.globalenergyobservatory.org/geoid/43370,"Ita, On the border of Santa Catarina and Rio Grande do Sul, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Itauba Hydroelectric Power Plant Brazil,500,Brazil,Rio Grande do Sul,HYDRO,Environmentally Responsible,-29.2618,-53.2362,"-29.2618, -53.2362",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43416,"Pinhal Grande, Rio Grande do Sul, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Santo Antonio Hydroelectric Power Plant Brazil,859.2,Brazil,Rondonia,HYDRO,Environmentally Responsible,-8.8,-63.9515,"-8.8, -63.9515",Dam with run-of-river generation,Base Load,http://www.globalenergyobservatory.org/geoid/43389,"Porto Velho, Rondonia, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Agua Vermelha Hydroelectric Power Plant Brazil,1396,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-19.8641,-50.3472,"-19.8641, -50.3472",Dam on river with reservoir,Base Load,http://www.globalenergyobservatory.org/geoid/43273,"near Iturama in Minas Gerais/Sao Paulo, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Eng Souza Dias (Jupia) Hydroelectric Power Plant Brazil,1551.2,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-20.77778,-51.629167,"-20.77778, -51.629167",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43355,"Tres Lagoas, Sao Paulo, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Paraibuna Hydroelectric Power Plant Brazil,85,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-23.4126,-45.6026,"-23.4126, -45.6026",Dam on river with reservoir,Intermediate Load,http://www.globalenergyobservatory.org/geoid/43359,"Sao Paulo, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lucas Nogueira Garcez (Salto Grande) Hydroelectric Power Plant Brazil,74,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-22.9043,-49.9986,"-22.9043, -49.9986",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/43405,"Sao Paulo, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Bariri Hydroelectric Power Plant Brazil,136.8,Brazil,Sao Paulo,HYDRO,Environmentally Responsible,-22.1538,-48.7537,"-22.1538, -48.7537",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43411,"Bariri, Sao Paulo, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Estreito Hydroelectric Power Plant Brazil,1087,Brazil,Tocantins,HYDRO,Environmentally Responsible,-6.588,-47.4646,"-6.588, -47.4646",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43390,"Estreito, On the border of the states of Tocantins and Maranhao, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Sao Salvador Hydroelectric Power Plant Brazil,243,Brazil,Tocantins,HYDRO,Environmentally Responsible,-12.8151,-48.237,"-12.8151, -48.237",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43421,"Sao Salvador, Tocantins, Brazil",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Aleko Hydroelectric Power Plant Bulgaria,66,Bulgaria,Pazardzhik,HYDRO,Environmentally Responsible,42.1194,24.289,"42.1194, 24.289",Water discharged from another project,Peaking Load and Backup,http://www.globalenergyobservatory.org/geoid/42191,"Aleko Konstantinovo, Pazardzhik, Bulgaria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Krichim Hydroelectric Power Plant Bulgaria,80,Bulgaria,Plovdiv,HYDRO,Environmentally Responsible,41.99178,24.468033,"41.99178, 24.468033",Dam on river with reservoir,Peaking Load and Backup,http://www.globalenergyobservatory.org/geoid/42187,"18km from Krichim, Plovdiv, Bulgaria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Kamchay Hydroelectric Power Plant Cambodia,193,Cambodia,Kampot,HYDRO,Environmentally Responsible,10.7045,104.1175,"10.7045, 104.1175",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/43061,"Bokor National Park (BNP), Kampot, Cambodia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Edea Hydroelectric Power Plant Cameroon,264,Cameroon,Littoral,HYDRO,Environmentally Responsible,3.8113,10.1292,"3.8113, 10.1292",,,http://www.globalenergyobservatory.org/geoid/42601,"Littoral, Cameroon",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ash River Hydroelectric Power Plant Canada,28,Canada,British Columbia,HYDRO,Environmentally Responsible,49.3738,-125.1509,"49.3738, -125.1509",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/2177,"Central Vancouver Island, Regional District of Alberni-Clayoquot",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ladore Hydroelectric Generating Station Canada,47,Canada,British Columbia,HYDRO,Environmentally Responsible,50.01723,-125.3929,"50.01723, -125.3929",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/3950,Vancouver Island/ British Columbia,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ruskin Hydroelectric Generating Station Canada,105.6,Canada,British Columbia,HYDRO,Environmentally Responsible,49.1958,-122.4076,"49.1958, -122.4076",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/5184,"Ruskin, British Columbia, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Wahleach Generating Station Canada,63,Canada,British Columbia,HYDRO,Environmentally Responsible,49.236556,-121.680556,"49.236556, -121.680556",,,http://www.globalenergyobservatory.org/geoid/5970,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Mica Creek Hydroelectric Power Plant Canada,1804,Canada,British Columbia,HYDRO,Environmentally Responsible,52.077,-118.5664,"52.077, -118.5664",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41086,"135 km N of Revelstoke, British Columbia, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Seven Mile Hydroelectric Power Plant Canada,805,Canada,British Columbia,HYDRO,Environmentally Responsible,49.03,-117.503,"49.03, -117.503",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41087,"Fruitvale, British Columbia, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Stave Falls Hydroelectric Power Plant Canada,90,Canada,British Columbia,HYDRO,Environmentally Responsible,49.2295,-122.3555,"49.2295, -122.3555",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41088,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Alouette Hydroelectric Generating Station Canada,9,Canada,British Columbia,HYDRO,Environmentally Responsible,49.3713,-122.31313,"49.3713, -122.31313",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41090,"16 km N of Stave Falls, British Columbia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Kootenay Canal Hydroelectric Generating Station Canada,583,Canada,British Columbia,HYDRO,Environmentally Responsible,49.453,-117.5181,"49.453, -117.5181",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41096,"Midway between Nelson and Castlegar, British Colombia, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lake Buntzen II Hydroelectric Generating Station Canada,26.7,Canada,British Columbia,HYDRO,Environmentally Responsible,49.3706,-122.8737,"49.3706, -122.8737",Dam on a lake,Peaking Load,http://www.globalenergyobservatory.org/geoid/42961,"Buntzen Lake, British Columbia, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Clowhom Hydroelectric Generating Station Canada,33,Canada,British Columbia,HYDRO,Environmentally Responsible,49.7109,-123.5322,"49.7109, -123.5322",Dam on river with reservoir,Intermediate/Peak Load,http://www.globalenergyobservatory.org/geoid/42966,"Sunshine Coast in south western British Columbia, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Great Falls Hydroelectric Generating Station Plant Canada,136,Canada,Manitoba,HYDRO,Environmentally Responsible,50.46308,-96.0067,"50.46308, -96.0067",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/41626,"Great Falls, Manitoba, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Jenpeg Hydroelectric Generating Station Canada,168,Canada,Manitoba,HYDRO,Environmentally Responsible,54.5438,-98.0277,"54.5438, -98.0277",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/41627,"Jenpeg, Manitoba, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Limestone Hydroelectric Generating Station Canada,1340,Canada,Manitoba,HYDRO,Environmentally Responsible,56.5079,-94.1099,"56.5079, -94.1099",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/41629,"Bird, Manitoba, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Pointe du Bois Hydroelectric Power Plant Canada,77,Canada,Manitoba,HYDRO,Environmentally Responsible,50.298,-95.5482,"50.298, -95.5482",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/41634,"Pointe du Bois, Manitoba, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Beechwood Hydroelectric Generating Station Canada,113,Canada,New Brunswick,HYDRO,Environmentally Responsible,46.5418,-67.6696,"46.5418, -67.6696",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/2292,"Beechwood, New Brunswick, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tinker Hydro Generaton Station Canada,34.5,Canada,New Brunswick,HYDRO,Environmentally Responsible,46.80575104,-67.77380526,"46.8057510445, -67.7738052607",,,http://www.globalenergyobservatory.org/geoid/5730,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Grand Falls Hydroelectric Power Plant Canada,63,Canada,New Brunswick,HYDRO,Environmentally Responsible,47.051389,-67.74,"47.051389, -67.74",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/41509,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Churchill Falls Hydroelectric Generating Station Canada,5429,Canada,Newfoundland and Labrador,HYDRO,Environmentally Responsible,53.52459478,-63.97270203,"53.524594783, -63.9727020264",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/2677,"Churchill Falls, Newfoundland and Labrador, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Caribou Falls Hydroelectric Generating Station Canada,,Canada,Ontario,HYDRO,Environmentally Responsible,50.26191227,-94.97526169,"50.2619122694, -94.9752616882",,,http://www.globalenergyobservatory.org/geoid/2560,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Chats Falls Hydroelectric Generating Station Canada,96,Canada,Ontario,HYDRO,Environmentally Responsible,45.47397542,-76.24031067,"45.4739754229, -76.2403106689",,,http://www.globalenergyobservatory.org/geoid/2639,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Des Joachims Hydroelectric Generating Station Canada,432,Canada,Ontario,HYDRO,Environmentally Responsible,46.18101897,-77.69685745,"46.1810189733, -77.6968574524",,,http://www.globalenergyobservatory.org/geoid/2906,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Healey Falls Hydroelectric Generating Station Canada,15.7,Canada,Ontario,HYDRO,Environmentally Responsible,44.37147779,-77.77899742,"44.3714777936, -77.7789974213",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/3511,"8 km North of Campbellford, Ontario, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Hound Chute Hydroelectric Generating Station Canada,3.6,Canada,Ontario,HYDRO,Environmentally Responsible,47.3049894,-79.69752789,"47.3049894039, -79.6975278854",,,http://www.globalenergyobservatory.org/geoid/3593,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lakefield Hydroelectric Generating Station Canada,2,Canada,Ontario,HYDRO,Environmentally Responsible,44.42098452,-78.27209473,"44.4209845201, -78.2720947266",,,http://www.globalenergyobservatory.org/geoid/3973,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
South Falls Hydroelectric Generating Station Canada,5,Canada,Ontario,HYDRO,Environmentally Responsible,44.99278705,-79.20138359,"44.9927870476, -79.2013835907",,,http://www.globalenergyobservatory.org/geoid/5464,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Stewartville Hydroelectric Generating Station Canada,182,Canada,Ontario,HYDRO,Environmentally Responsible,45.40696218,-76.50670767,"45.4069621806, -76.5067076683",,,http://www.globalenergyobservatory.org/geoid/5552,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Kipling Hydroelectric Generating Station Canada,157,Canada,Ontario,HYDRO,Environmentally Responsible,50.1453,-82.2085,"50.1453, -82.2085",Dam on river with reservoir,Base/Intermediate Load,http://www.globalenergyobservatory.org/geoid/42870,"93km North of Kapuskasing, Ontario, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ear falls Hydroelectric Generating Station Canada,18.625,Canada,Ontario,HYDRO,Environmentally Responsible,50.6311,-93.2206,"50.6311, -93.2206",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/42874,"Ear Falls, Ontario, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Indian Chutes Hydroelectric Generating Station Canada,3,Canada,Ontario,HYDRO,Environmentally Responsible,47.8402,-80.4484,"47.8402, -80.4484",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/42879,"16km NW of Elk Lake, Ontario, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Red Rock Hydroelectric Generating Station Canada,41,Canada,Ontario,HYDRO,Environmentally Responsible,46.3153,-83.2902,"46.3153, -83.2902",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/42896,"10 km West of Iron Bridge, Ontario, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Carillon Hydroelectric Generating Station Canada,752,Canada,Quebec,HYDRO,Environmentally Responsible,45.567489,-74.38310623,"45.5674889998, -74.3831062317",,,http://www.globalenergyobservatory.org/geoid/2562,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Chute-des-Chats Hydroelectric Generating Station Canada,79,Canada,Quebec,HYDRO,Environmentally Responsible,45.47373467,-76.23842239,"45.473734673, -76.2384223938",,,http://www.globalenergyobservatory.org/geoid/2678,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Grand-Mere Hydroelectric Generating Station Canada,105,Canada,Quebec,HYDRO,Environmentally Responsible,46.6137782,-72.6783371,"46.6137782015, -72.6783370972",,,http://www.globalenergyobservatory.org/geoid/3374,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Laforge-1 Hydroelectric Generating Station Canada,878,Canada,Quebec,HYDRO,Environmentally Responsible,54.16866486,-72.61490822,"54.1686648649, -72.6149082184",,,http://www.globalenergyobservatory.org/geoid/3953,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Laforge-2 Hydroelectric Generating Station Canada,319,Canada,Quebec,HYDRO,Environmentally Responsible,54.588889,-71.280556,"54.588889, -71.280556",,,http://www.globalenergyobservatory.org/geoid/3954,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Mitis-1 Hydroelectric Generating Station Canada,6.2,Canada,Quebec,HYDRO,Environmentally Responsible,48.60187109,-68.13609123,"48.601871091, -68.1360912323",,,http://www.globalenergyobservatory.org/geoid/4319,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Rocher-de-Rocher-de-Grand-Mere Hydroelectric Generating Station Canada,230,Canada,Quebec,HYDRO,Environmentally Responsible,46.61442674,-72.67816544,"46.6144267378, -72.6781654358",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/5140,"Grand Mere, Quebec, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Shawinigan-3 Hydroelectric Generating Station Canada,183.6,Canada,Quebec,HYDRO,Environmentally Responsible,46.53357998,-72.76560545,"46.5335799767, -72.7656054497",,,http://www.globalenergyobservatory.org/geoid/5356,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Outardes-3 Hydroelectric Power Plant Canada,1026,Canada,Quebec,HYDRO,Environmentally Responsible,49.5567,-68.7241,"49.5567, -68.7241",Dam with run-of-river generation,Base Load,http://www.globalenergyobservatory.org/geoid/42818,"55 km northwest of Baie-Comeau, Quebec, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Peribonka Hydroelectric Power Plant Canada,405,Canada,Quebec,HYDRO,Environmentally Responsible,49.5078,-71.1831,"49.5078, -71.1831",Dam with run-of-river generation,Base Load,http://www.globalenergyobservatory.org/geoid/42846,"Quebec, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Nipawin Hydroelectric Generating Station Canada,225,Canada,Saskatchewan,HYDRO,Environmentally Responsible,53.319,-104.0424,"53.319, -104.0424",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/4504,"Nipawin, Saskatchewan, Canada",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
M'Bali Hydroelectric Power Plant CAR,,Central African Republic,Ombella-MPoko,HYDRO,Environmentally Responsible,4.9196,18.0018,"4.9196, 18.0018",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/42832,"Near Vange, Ombella-MPoko, Central African Republic",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Boali II Hydroelectric Power Plant CAR,9.9,Central African Republic,Ombella-MPoko,HYDRO,Environmentally Responsible,4.881,18.0338,"4.881, 18.0338",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/42833,"E of Vange, Ombella-MPoko, Central African Republic",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Los Molles Hydroelectric Power Plant Chile,18,Chile,IV Region de Coquimbo,HYDRO,Environmentally Responsible,-30.7438,-70.5878,"-30.7438, -70.5878",Barrage with run-of-river Generation,,http://www.globalenergyobservatory.org/geoid/44680,"IV Region de Coquimbo, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Alfalfal Hydroelectric Power Plant Chile,178,Chile,Region Metropolitana de Santiago,HYDRO,Environmentally Responsible,-33.501,-70.1931,"-33.501, -70.1931",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/44662,"Route G-345 Km 23, San Jos de Maipo, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Queltehues Hydroelectric Power Plant Chile,41,Chile,Region Metropolitana de Santiago,HYDRO,Environmentally Responsible,-33.8128,-70.2194,"-33.8128, -70.2194",Barrage with run-of-river Generation,,http://www.globalenergyobservatory.org/geoid/44664,"San Jose de Maipo, Region Metropolitana de Santiago, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
La Confluencia Hydroelectric Power Plant Chile,160,Chile,VI Region del Libertador General Bernardo OHiggins,HYDRO,Environmentally Responsible,-34.8338,-70.5535,"-34.8338, -70.5535",Barrage with run-of-river Generation,Base/Intermediate Load,http://www.globalenergyobservatory.org/geoid/44566,"VI Region del Libertador General Bernardo OHiggins, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Curillinque Hydroelectric Power Plant Chile,89,Chile,VII Region del Maule,HYDRO,Environmentally Responsible,-35.8055,-70.9417,"-35.8055, -70.9417",Barrage with run-of-river Generation,,http://www.globalenergyobservatory.org/geoid/44672,"VII Region del Maule, Chile",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
